datetime,daily_active_addresses,network_growth,age_destroyed,average_token_age_consumed_in_days,transaction_volume,velocity,circulation_1d,daily_active_deposits,github_activity,exchange_funds_flow,priceBtc,priceUsd
2019-01-01,132.0,55.0,124002379.46800469,71.37348446014566,1737373.2052727013,1.2634483984473048,1375104.2048158187,7.0,0.0,2741.1745892023064,7.76783495737e-05,0.299371000824
2019-01-02,161.0,46.0,18870926.23676726,18.78273751043975,1004695.200914057,1.5168214982648385,662368.7771193732,13.0,21.0,-239325.74070190388,8.02931394484e-05,0.316488833681
2019-01-03,324.0,89.0,447518466.62504715,22.984859306254837,19470141.655522972,3.108749447058189,6263014.111332637,35.0,38.0,-414054.9426522465,9.551695162412898e-05,0.366444776841
2019-01-04,444.0,116.0,736444943.1068203,54.344322913175624,13551460.458591375,2.494980273097494,5431490.022070338,64.0,50.0,1419251.9754217358,0.000113439031889,0.437175390788
2019-01-05,238.0,64.0,95619955.98611166,12.46023162416493,7674011.11554537,1.9332824765931609,3969420.5106894355,21.0,14.0,564166.5949962494,0.00010306683060599999,0.395948252783
2019-01-06,172.0,62.0,41659734.07312037,15.399670927085031,2705235.3436883492,1.9906458060558667,1358973.723732563,11.0,18.0,325361.2392522001,9.73456476664e-05,0.397010182379
2019-01-07,204.0,61.0,165420964.2037324,28.498467768593496,5804556.425522398,1.9568882224246065,2966217.6709973197,13.0,37.0,141494.46651343396,9.36138176762e-05,0.376474143284
2019-01-08,202.0,55.0,113963783.14248781,33.947671334215826,3357042.726745849,1.7036049279475207,1970552.369081468,19.0,46.0,-515323.51455051516,0.00010524391379,0.424198422872
2019-01-09,199.0,54.0,42686085.638393626,6.1000357880210325,6997677.902516337,1.573150711543076,4448192.948819528,12.0,50.0,-3719854.5888805403,9.958231609568477e-05,0.40179199671
2019-01-10,206.0,46.0,45117054.29039733,11.334854734246374,3980382.223521899,1.6813928307875305,2367312.4748947406,14.0,31.0,-113504.00672999231,9.660379848850001e-05,0.354603780319
2019-01-11,315.0,76.0,96902116.55224973,15.270787257920345,6345587.487769528,2.1690717070856667,2925485.343357023,31.0,21.0,-403034.06449630344,0.00012071152700800001,0.444193038996
2019-01-12,281.0,73.0,384216892.8351187,59.74277615283571,6431185.786415483,1.9773939505752531,3252354.334625408,23.0,7.0,437462.6489078642,0.000112749172144,0.412244398828
2019-01-13,232.0,50.0,36781236.73647657,12.477910577827023,2947707.992220749,1.903678745047705,1548427.2227596275,13.0,5.0,-244339.82641715815,0.000125437369064,0.444260572655
2019-01-14,332.0,85.0,412687635.858228,87.08194750889935,4739072.1919265,1.8057163814800274,2624483.136184542,12.0,27.0,-56591.285292049564,0.00013131609959100003,0.485660068689
2019-01-15,603.0,170.0,497003680.9798267,43.39829907087361,11452146.549987396,2.3243438528477247,4927044.910311613,76.0,54.0,873461.8359480584,0.00014339962854686953,0.520637478592
2019-01-16,396.0,109.0,401863891.71690804,40.95577407613641,9812142.506935578,1.8312830632462627,5358069.816657331,33.0,53.0,715354.4005266041,0.00013605001045444197,0.497215322599
2019-01-17,264.0,57.0,64807423.889245346,17.197179878548987,3768491.3658479163,1.914268849982061,1968632.2356879134,38.0,28.0,653969.9888250079,0.00013139997347199998,0.483011881103
2019-01-18,226.0,56.0,24909724.91445569,11.733076788275675,2123034.3382178196,1.8153942598562605,1169461.8547410837,12.0,20.0,181100.08465083866,0.000136980448711,0.500731508034
2019-01-19,208.0,54.0,168040782.3292524,61.953656060758284,2712362.6435291218,1.5092602044735701,1797147.129096399,13.0,0.0,-342653.23730041913,0.000131688529387,0.49146990724
2019-01-20,186.0,58.0,1937452009.7306142,362.958417260476,5337944.837742134,1.1153059913485859,4786081.020947162,11.0,7.0,-163206.42418858988,0.00013630426676,0.490122567162
2019-01-21,246.0,66.0,77225696.20268878,17.963200433806122,4299105.634726018,1.619267003896546,2654970.196008939,21.0,28.0,-478299.7332984426,0.00014074435930848695,0.503279936696
2019-01-22,342.0,93.0,165736170.93582556,36.81952816383977,4501311.646317995,2.4099300310088894,1867818.3965505324,24.0,63.0,230369.11038702415,0.000149923495712,0.540334699958
2019-01-23,270.0,67.0,53012504.31523871,17.35173869282521,3055169.5858098003,2.034197106074824,1501904.400849848,30.0,26.0,216916.1882368099,0.000142353898336,0.509976027783
2019-01-24,235.0,61.0,91143039.0087995,34.115475228257594,2671603.968550505,2.052233022776616,1301803.420420503,18.0,39.0,295568.8071155003,0.00014002123905700002,0.504242133718
2019-01-25,196.0,38.0,69359019.69383903,16.989087961263213,4082562.86929495,2.008622911621895,2032518.321718445,14.0,36.0,1245478.3689547244,0.00013318700121794341,0.479479398326
2019-01-26,165.0,38.0,38526475.95158895,6.761255645635672,5698124.427000089,1.3184571412807655,4321812.4037500825,10.0,15.0,-346690.9314189208,0.000131217072326,0.47214917483
2019-01-27,193.0,48.0,63251805.21013231,14.362522666566674,4403948.155804896,1.710709782441871,2574339.727875229,17.0,10.0,134822.0177890626,0.000121194399256,0.433748990588
2019-01-28,336.0,77.0,509195703.49397725,60.56110920064129,8407965.280275702,2.10143651658689,4001056.0461430214,26.0,38.0,1748308.6932082926,0.00011926766343299999,0.413490114693
2019-01-29,290.0,76.0,71384184.96078883,14.672435172783663,4865190.005623708,2.1742645308905155,2237625.6138580665,27.0,75.0,-43770.46751378016,0.000132129623232,0.45523499992
2019-01-30,202.0,42.0,49660181.569602296,14.738305330006604,3369463.480207331,2.116696302460281,1591850.2225807891,17.0,64.0,-151551.89292415758,0.000122541726768,0.426928766389
2019-01-31,214.0,38.0,105577995.54550032,21.924836531151303,4815451.891533725,1.6892609403338388,2850626.4346478516,22.0,27.0,210046.85410568683,0.00011225826317,0.387690354953
2019-02-01,190.0,51.0,29765984.274584338,23.7383819861267,1253917.9920510307,1.6171086820019778,775407.3711970195,11.0,38.0,-462317.54345394135,0.000120317410465,0.419263468526
2019-02-02,163.0,44.0,35094041.740394756,27.001388479215283,1299712.4858008283,2.017939882771248,644078.8929826422,19.0,8.0,-181723.70122253997,0.00011797237198399999,0.414927034577
2019-02-03,153.0,35.0,44372397.06152552,27.372414632360027,1621062.5791510523,2.0047832429911425,808597.4305792893,9.0,3.0,-134063.47251754708,0.00011457591472763735,0.39664473942
2019-02-04,112.0,23.0,11002141.449351009,23.47083658517,468757.9588152681,1.4972834393231291,313072.29246266,9.0,23.0,-118715.98391148484,0.00011391878680400001,0.394451796319
2019-02-05,177.0,39.0,36315964.547017924,28.295285743561212,1283463.4318998472,1.6925464151042717,758303.2408719959,13.0,48.0,-173236.50109591513,0.000121715397488,0.421776232937
2019-02-06,179.0,48.0,74028999.5069207,21.911667419643326,3378519.6758031924,1.4734339506044574,2292956.3109477656,11.0,23.0,-746069.1283260054,0.00011726033678900001,0.399619981684
2019-02-07,179.0,45.0,24647999.40179382,7.794102227404645,3162391.0852913414,1.1774126089465555,2685881.7896648534,11.0,16.0,-973397.29946322,0.000118155924426,0.40147423891
2019-02-08,183.0,33.0,26007691.03845063,13.834858087009078,1879866.846113285,1.7922803796905191,1048868.7302585377,8.0,34.0,-388791.80153608706,0.00011912001755499999,0.436518891377
2019-02-09,206.0,59.0,48982923.73886181,21.10544160583122,2320867.037689858,1.8444085705166473,1258325.8800623259,13.0,7.0,-274652.50985271117,0.000126710587281,0.46433419057
2019-02-10,194.0,51.0,88905186.41095237,39.92811211000657,2226631.356023254,2.268115805105644,981709.730610312,17.0,0.0,-70885.1096067845,0.00012260805203,0.452186140587
2019-02-11,205.0,50.0,30605040.36434235,9.682964549567043,3160709.7400465864,1.3481296520166297,2344514.6654244782,12.0,29.0,-436320.79421186546,0.000117668680055,0.429450855114
2019-02-12,165.0,44.0,16691353.006139671,13.623980488958932,1225145.104961548,1.7562506988627964,697591.241247534,7.0,61.0,-239367.679446793,0.00011669189054,0.425395475395
2019-02-13,169.0,46.0,30994013.3177617,30.074213595215934,1030584.3316445722,1.7215986107549164,598620.5641701021,12.0,92.0,-146169.32031371797,0.00012242617193000002,0.444044077411
