datetime,daily_active_addresses,network_growth,age_destroyed,average_token_age_consumed_in_days,transaction_volume,velocity,circulation_1d,daily_active_deposits,github_activity,exchange_funds_flow,priceBtc,priceUsd
2019-01-01,327.0,59.0,496407488.0227297,71.57971490201585,6935030.248475458,1.827299981470821,3795233.578940521,18.0,4.0,193918.86859897003,1.0560142833399998e-05,0.0406986058049
2019-01-02,339.0,102.0,384957120.04220134,31.038787478738143,12402453.552861903,1.6537687873962867,7499508.787070822,25.0,6.0,-264738.6998394069,1.0365223974e-05,0.0408562632987
2019-01-03,297.0,76.0,172818131.79870394,29.977316413658635,5764963.39478748,2.0589386843588664,2799968.468503778,20.0,3.0,-140254.06830362673,1.01477062451e-05,0.0389159497251
2019-01-04,279.0,72.0,29157626.497144673,7.87425716784661,3702905.0328970253,1.6322069342506171,2268649.247343817,12.0,4.0,-420402.2027997438,1.00283746842e-05,0.0386477083641
2019-01-05,279.0,67.0,176319566.47220767,20.128724404527347,8759599.611416506,1.668761005496078,5249163.650496801,16.0,2.0,399817.11599600315,9.69678043177e-06,0.0372517835953
2019-01-06,253.0,47.0,174899640.83294663,37.78793693982094,4628451.696409954,2.3581957701508887,1962708.8450395297,16.0,3.0,64088.984657580026,9.61716635117e-06,0.0392222257346
2019-01-07,227.0,48.0,39764234.4946576,14.305380336073274,2779669.855710569,2.2826206563937252,1217753.746302341,9.0,5.0,-144843.07389820952,9.59562457841e-06,0.0385894372445
2019-01-08,318.0,93.0,174870460.96656644,15.380429769515622,11369673.25276982,2.6925142414358003,4222697.535930904,33.0,5.0,-1222961.1305144394,9.63188670986e-06,0.0388224934294
2019-01-09,248.0,50.0,486891748.42339253,24.133275248965596,20175121.006182596,1.1855923101266823,17016912.84082878,19.0,7.0,-582299.9773491574,9.71676832412e-06,0.0391679170818
2019-01-10,223.0,37.0,45211630.82529648,5.443952796111722,8304927.0481530195,2.6110839076272083,3180643.4959418913,17.0,4.0,-61876.672013539865,9.06709337855e-06,0.0332826000514
2019-01-11,215.0,33.0,121711076.13258283,18.116322044972446,6718310.473309315,2.6977846986242606,2490306.3898076545,15.0,3.0,-796857.7507805098,9.3565381263e-06,0.034430093031
2019-01-12,247.0,45.0,191855107.69498783,5.183549527354772,37012303.38063227,2.8194546354573724,13127469.020131323,28.0,5.0,-861277.8521274258,9.92130737884e-06,0.0362752410345
2019-01-13,230.0,42.0,2319101281.2081523,129.6805492311485,17883185.219045326,1.8091237311009334,9884998.417528119,17.0,2.0,-5339894.149575482,9.251635495049999e-06,0.0327664468227
2019-01-14,262.0,51.0,157209553.78961313,12.274452583212758,12807866.804962201,1.3314592491702888,9619420.806865495,20.0,3.0,-71287.03681600999,9.322594113939999e-06,0.0344787250904
2019-01-15,226.0,40.0,134180077.91168897,10.697904005338122,12542651.144068485,1.9261971288157649,6511613.456603881,37.0,4.0,2514474.5080204923,9.597970600597397e-06,0.0348471140667
2019-01-16,197.0,31.0,55489602.65800167,7.71506927292068,7192366.094853621,1.881847424166404,3821970.900770341,13.0,4.0,1567944.965184416,9.38874797661232e-06,0.0343125982747
2019-01-17,203.0,37.0,142912960.95838514,13.423259094416334,10646666.353764465,1.6665353083054264,6388503.322254991,18.0,4.0,940391.9665252855,9.68804638824e-06,0.035612195243
2019-01-18,200.0,40.0,214662620.1330024,36.53123028003556,5876139.9078945415,2.0666110673047595,2843369.998767163,15.0,4.0,2076543.28728782,9.29034604502e-06,0.0339608245488
2019-01-19,198.0,36.0,131089310.09579386,41.5836960588898,3152420.8408542713,1.3993829280575814,2252722.0946092303,16.0,3.0,339701.6564752799,9.20407319737e-06,0.0343501823703
2019-01-20,253.0,55.0,131672512.2065122,15.434346004737494,8531136.47744427,1.990986563546381,4284878.980925143,16.0,2.0,-59464.237391079936,9.259103001770001e-06,0.0332938611588
2019-01-21,201.0,43.0,60915722.865147635,10.2797920656767,5925773.8362762965,1.3637479991889203,4345211.754518144,7.0,3.0,155039.32950590312,9.407743139162366e-06,0.0336406261309
2019-01-22,229.0,55.0,90239457.18481478,8.81721479077987,10234462.846382953,1.3249715714108317,7724288.631706477,12.0,3.0,-281029.5182406396,9.64727481891e-06,0.0347694490443
2019-01-23,238.0,40.0,105740030.93805727,14.130734240049096,7482982.068856029,2.7446984111431707,2726340.365293307,28.0,7.0,285563.121711525,9.65046507121e-06,0.0345723292497
2019-01-24,239.0,53.0,57578828.26801576,12.160028522037464,4735089.902434552,1.9124428095062487,2475938.040550894,12.0,8.0,251580.13785406377,9.71069455882e-06,0.0349699901043
2019-01-25,275.0,77.0,75195922.39505503,12.239176566206181,6143871.034811269,1.5242015437000838,4030878.3705182998,13.0,4.0,236707.7391925301,9.680785149021714e-06,0.0348512767472
2019-01-26,227.0,46.0,268749778.2677754,36.632555890696835,7336364.382263234,1.5855577674422403,4626992.805249839,19.0,4.0,592674.8096249447,9.47282169781e-06,0.0340909082646
2019-01-27,287.0,65.0,3540734266.8689346,98.985603820746,35770194.15147363,2.3904007576199846,14964099.236267146,18.0,2.0,-2468330.1484379508,9.033447726820001e-06,0.0323302797579
2019-01-28,291.0,75.0,528329961.9837064,19.758290184879975,26739660.01309218,2.568147306619152,10412042.932340082,35.0,3.0,2429250.1003717147,8.50438730424e-06,0.029483935382
2019-01-29,210.0,56.0,58995506.394255355,13.979732995080168,4220073.90377323,1.4229430796141644,2965736.271697892,14.0,2.0,-1731815.3320903399,9.341069771979998e-06,0.0321834104488
2019-01-30,403.0,111.0,233015594.25618055,9.105951706585008,25589372.946890786,1.5782490800807047,16213773.396010652,22.0,4.0,-1249579.6583044778,9.11472839e-06,0.0317552220793
2019-01-31,309.0,114.0,63073472.60101442,8.755355884779062,7203987.300009798,1.8092023494904523,3981858.249321173,16.0,4.0,-388717.94766560866,8.38971495456e-06,0.0289743621256
2019-02-01,264.0,75.0,264591024.0077173,47.16776759711587,5609572.754592181,1.7904660530188614,3133023.798543412,9.0,1.0,-692967.8900129698,8.29683569346e-06,0.0289115274106
2019-02-02,240.0,71.0,168594104.3355259,38.15599871323241,4418547.804307845,1.95932875273531,2255133.447176414,12.0,0.0,-735924.7771630601,8.15902984703e-06,0.0286965668531
2019-02-03,197.0,54.0,1207215638.4319835,125.47710683232268,9621003.136812892,2.098113976987528,4585548.374558148,12.0,0.0,2398069.8057286637,8.156114569930001e-06,0.0282119358877
2019-02-04,162.0,28.0,20064824.072249085,8.07955781944633,2483406.2111612037,2.033790848838445,1221072.5663258573,6.0,0.0,-16719.382982080075,8.1284030319e-06,0.0281451661054
2019-02-05,269.0,70.0,38871191.093564644,12.62007612787656,3080107.4969509747,1.5432254580665925,1995889.5058728768,11.0,2.0,-643576.8409990486,8.01555851458e-06,0.0277760426777
2019-02-06,274.0,60.0,1003904004.5262465,57.10211272048291,17580855.71089804,2.068926538310944,8497573.686328627,14.0,3.0,4838713.221674204,7.38206028927e-06,0.0251578571099
2019-02-07,308.0,70.0,97954266.82296064,10.214554490794066,9589675.879769636,1.355394599053341,7075191.155747138,11.0,2.0,-1053807.4978713768,7.824692191329999e-06,0.0265870065973
2019-02-08,330.0,72.0,27709939.639687423,5.679025581021421,4879347.564886922,2.3687627393096498,2059871.7988568824,8.0,5.0,-1294663.2196415155,7.88627620229e-06,0.0288994966218
2019-02-09,279.0,65.0,40838106.87080097,13.748434849208161,2970382.252140724,1.9312824729899758,1538036.1462826477,11.0,2.0,-771276.173918842,7.66642172933e-06,0.0280937986686
2019-02-10,314.0,74.0,193752925.62527204,12.958165351508619,14952188.089088935,1.5732407310255074,9504068.763425957,17.0,1.0,-2063681.5198565908,8.213592769359999e-06,0.0302922422569
2019-02-11,409.0,108.0,190393955.9204338,9.584836719906479,19864079.22056824,2.5544120143435602,7776380.282048188,24.0,4.0,-3784620.859933068,8.55430619796e-06,0.0312203222633
2019-02-12,342.0,91.0,188965991.51149902,16.099221505404163,11737585.662018951,1.5410556522777286,7616587.788163546,25.0,5.0,-1352107.376461434,8.45007486219e-06,0.0308043994872
2019-02-13,316.0,85.0,195828505.40334177,18.42170390372692,10630314.46096164,1.443278518092845,7365393.669829288,13.0,4.0,-2178331.4777064803,8.46742350326e-06,0.0307116460336
2019-02-14,370.0,130.0,339610706.7550315,25.809300515960082,13158462.258402606,1.5427427540106333,8529265.31282993,17.0,5.0,-2266518.5847017397,8.58619484643e-06,0.0310000584313
2019-02-15,276.0,64.0,39561446.48295682,17.13257614418421,2309135.89118273,1.5907502161163047,1451601.8088750038,7.0,3.0,-738084.5789622533,8.63027904649e-06,0.0312408497657
2019-02-16,314.0,89.0,13307490.96026984,6.029138144253472,2207196.2263716836,2.032636122114933,1085878.6786073279,12.0,2.0,-741281.7951751775,8.45483371337e-06,0.0306718561089
2019-02-17,295.0,75.0,512686079.2091155,64.99793264235497,7887729.014861479,1.4120064847234206,5586184.69546654,12.0,2.0,-1306844.893832534,9.01838897641e-06,0.0330684482801
2019-02-18,500.0,162.0,709145010.5620698,28.461824205096807,24915655.632328734,2.2240869866063684,11202644.403016953,37.0,6.0,-6346017.147930999,9.019111013510001e-06,0.0353042516976
2019-02-19,446.0,128.0,68000277.41641551,12.849855662905808,5291909.823758925,1.4164275178349082,3736096.4519016985,25.0,6.0,-665965.0388582349,8.9211876946e-06,0.0352521510731
2019-02-20,439.0,112.0,521740742.41589284,8.93665053837379,58382135.474084966,2.4801329015485782,23539922.17015125,39.0,9.0,717994.7280401442,9.36303768643e-06,0.0374909618253
2019-02-21,517.0,155.0,325043796.93047565,17.33095247734461,18755102.892087426,2.046017132891486,9166640.196009597,11.0,5.0,-273230.19489052,9.413845742310001e-06,0.0372169626267
2019-02-22,594.0,165.0,644017589.1159983,46.54120180590523,13837579.695552342,1.673143414341035,8270408.607502582,17.0,4.0,-1480845.701251985,9.86096269856e-06,0.0395270365327
2019-02-23,333.0,75.0,335507040.79061115,27.882548625371424,12032868.49055541,1.839845973704411,6540149.916097603,18.0,3.0,-2419058.7888557296,9.541379148e-06,0.0395000234401
2019-02-24,315.0,72.0,312360352.8482922,32.191545196078984,9703179.855011694,2.390194735163861,4059577.118241161,14.0,2.0,-2391010.6879953896,9.58063646507e-06,0.0364103171282
2019-02-25,1637.0,598.0,11476725367.80654,47.201049068982286,243145557.02001047,1.9620587519190589,123923688.2087213,215.0,5.0,9331980.642531613,2.02507053639e-05,0.0784978098668
2019-02-26,2516.0,1038.0,9040572863.59653,28.434176549908173,317947412.6049814,3.382515552879582,93997324.66397908,445.0,4.0,28616000.444287732,2.21434148738208e-05,0.0853508278802
2019-02-27,1037.0,302.0,1363097851.8811378,15.192571432611215,89721339.00619456,3.022334181951086,29686108.022731744,139.0,5.0,-1999407.7800671663,1.9512068239277048e-05,0.0751076588022
2019-02-28,755.0,221.0,1445536517.9973152,19.85891751239033,72790297.71363007,2.4880362818845283,29256123.89321591,46.0,11.0,-12761674.666997427,2.1462147606799998e-05,0.0826440935197
2019-03-01,910.0,212.0,959258264.2922261,16.131377385942077,59465366.245053865,1.8886469479699448,31485697.371322684,45.0,4.0,16854069.162863985,2.02466725829e-05,0.0779990057765
2019-03-02,617.0,166.0,182483323.040737,5.522568765042915,33043196.165492907,2.1052400784023755,15695690.24667662,48.0,2.0,1639283.9438279984,2.1795455515999998e-05,0.0841119995613
2019-03-03,618.0,224.0,992452277.8949096,32.64547560957783,30400913.43021312,2.589598967879091,11739622.160535464,41.0,4.0,-3590445.431997281,2.1282235724162738e-05,0.0818941429207
2019-03-04,680.0,141.0,349380683.0066482,3.744024806796504,93316871.82532017,1.927906695484258,48403209.57642629,139.0,3.0,11185017.111208534,2.083269289925127e-05,0.0782654406368
2019-03-05,1033.0,359.0,961076385.3583335,15.89490329080711,60464437.42216264,2.622079178250451,23059729.821929686,89.0,8.0,-1589303.3442860849,2.63828550571e-05,0.102915084558
2019-03-06,879.0,294.0,1287569437.4064095,19.79524644865372,65044375.211301096,2.3247661948389178,27978888.954812817,94.0,8.0,-6200931.89355804,2.5595674694200003e-05,0.0998578303072
2019-03-07,760.0,203.0,1296220430.6041622,31.706358097106147,40882034.657978185,2.3657103099622963,17281082.339548886,66.0,5.0,-4759534.643446477,2.62682945881e-05,0.102619015528
2019-03-08,3251.0,1269.0,6852746070.292067,22.389720907720406,306066614.16351575,2.6253030658915026,116583345.42019135,470.0,5.0,10117587.540459082,5.5337710795200004e-05,0.215805621873
2019-03-09,3309.0,1403.0,3559632576.404059,21.468916705626622,165804014.48346686,3.366910239283342,49245154.37000729,477.0,4.0,-259351.89254944795,5.17350392488e-05,0.204986553006
2019-03-10,1955.0,591.0,1146128915.1854064,12.925144619025529,88674359.08595805,3.127221022718295,28355641.779639646,181.0,4.0,-8761537.526495336,5.0112343205899997e-05,0.197793387588
2019-03-11,1445.0,578.0,1493461918.3159344,12.852000078052562,116204630.34904017,2.6141146346994995,44452767.60496694,156.0,8.0,-8414848.771630755,4.251822419e-05,0.165786736538
2019-03-12,1568.0,596.0,7405016733.896965,33.28651208961426,222462981.82161933,1.3487234764335485,164943359.93163067,155.0,4.0,23877345.95714486,4.81011752498e-05,0.187770557535
2019-03-13,1343.0,425.0,362610614.4673363,5.717175033014196,63424788.00691219,3.014693366691779,21038553.608028203,111.0,4.0,943196.5729197001,4.5001896395100005e-05,0.175561260649
2019-03-14,956.0,309.0,153531444.55808336,4.080739224945776,37623439.30715726,2.648758275817899,14204179.992808042,72.0,4.0,2099713.1840541535,4.27411481195e-05,0.167669433562
2019-03-15,837.0,284.0,128766867.4458927,4.4902369342852735,28677076.361537006,2.7566815617399163,10402752.628213309,57.0,5.0,781986.9548365787,4.3822585397800006e-05,0.173573754418
2019-03-16,725.0,234.0,103263205.12582336,3.1200242124678588,33096924.28448971,1.9406219462499983,17054802.636054486,53.0,1.0,-4539529.984944016,4.1494253457407886e-05,0.16797381592
2019-03-17,708.0,200.0,2193624594.424328,53.61162120525255,40916960.6348224,2.904081890738549,14089465.164639905,54.0,2.0,2788014.8657370703,4.2124868773299996e-05,0.169273709581
2019-03-18,1803.0,723.0,1680461983.13364,6.85001514560351,245322374.8289373,3.163738527155896,77541924.7587046,187.0,1.0,29755078.503591843,4.97386988283e-05,0.20024366779
