datetime,daily_active_addresses,network_growth,age_destroyed,average_token_age_consumed_in_days,transaction_volume,velocity,circulation_1d,daily_active_deposits,github_activity,exchange_funds_flow,priceBtc,priceUsd
2019-01-01,498.0,133.0,15057498.027261196,22.195039563530674,678417.2645496259,2.0797740629549293,326197.5791667175,58.0,0.0,-108018.79525899347,0.00037147260168200004,1.4316489105999999
2019-01-02,719.0,229.0,17004426.72121364,8.556926946120031,1987211.8610202647,2.01391814145495,986739.1430242547,47.0,16.0,3165.704422815579,0.00038712091463,1.52590180938
2019-01-03,625.0,162.0,11707094.024395801,16.96033364300287,690263.1912094291,2.113368371059298,326617.5460284023,56.0,32.0,19982.68159144732,0.00038140413918020865,1.46323298945
2019-01-04,553.0,141.0,47267856.33818564,65.39908521415246,722760.206559537,1.5497469785514681,466373.03802656475,53.0,44.0,-33330.38006666381,0.000383865239049,1.47935356197
2019-01-05,603.0,161.0,25034096.94899916,12.460686022875976,2009046.4443964204,2.848844613781222,705214.4699916956,67.0,4.0,273488.8966643252,0.000392099469863,1.5063148745000001
2019-01-06,515.0,136.0,8409826.81952861,11.393801398264277,738105.4422108633,2.3647581862178555,312127.23842659534,55.0,1.0,-38966.87878581903,0.000387697035004,1.58116643389
2019-01-07,581.0,158.0,21577357.136372752,10.876791920043566,1983797.9153219212,1.8854325748074683,1052171.2321240122,50.0,84.0,112883.90326224304,0.00037039352214100004,1.48956198335
2019-01-08,544.0,148.0,11129873.75043212,12.522815705458884,888767.6711221138,2.639034959219464,336777.52847388585,57.0,75.0,-19735.616362489283,0.00037183077342700004,1.49870925531
2019-01-09,563.0,169.0,9313634.48641842,8.770747017670635,1061897.5176976395,1.8670859636775747,568745.9165543908,61.0,83.0,-3367.3093603971397,0.0003787572831413125,1.5281994939299999
2019-01-10,710.0,172.0,111279387.32158595,44.546530253354334,2498048.3707416602,3.015382721868307,828434.9288815612,75.0,88.0,-1884.9407184503452,0.000349993526843,1.28472202592
2019-01-11,623.0,167.0,5064404356.248945,447.52018935112534,11316594.148728786,1.0563387689287003,10713034.948254036,61.0,69.0,-10130314.489229143,0.000354796667783,1.30557713911
